SeqName	EPI_ISL	IsolateName	CollectionDate	Country	State	Place	decDate
Mexico|TAM_LANGEBIO_IMSS_0225|EPI_ISL_1352053|B.1.1.519|2021-03-06	EPI_ISL_1352053	TAM_LANGEBIO_IMSS_0225	2021-03-06	North America	Mexico	Mexico City	2021.17534246575
Mexico|TAM_LANGEBIO_IMSS_0227|EPI_ISL_1352057|B.1.1.519|2021-03-07	EPI_ISL_1352057	TAM_LANGEBIO_IMSS_0227	2021-03-07	North America	Mexico	Mexico City	2021.17808219178
Mexico|TAM_LANGEBIO_IMSS_0228|EPI_ISL_1352059|B.1.1.519|2021-03-07	EPI_ISL_1352059	TAM_LANGEBIO_IMSS_0228	2021-03-07	North America	Mexico	Mexico City	2021.17808219178
Mexico|TAM_LANGEBIO_IMSS_0231|EPI_ISL_1352066|B.1.1.519|2021-03-04	EPI_ISL_1352066	TAM_LANGEBIO_IMSS_0231	2021-03-04	North America	Mexico	Veracruz	2021.1698630137
Mexico|TAM_LANGEBIO_IMSS_0232|EPI_ISL_1352068|B.1.1.519|2021-03-06	EPI_ISL_1352068	TAM_LANGEBIO_IMSS_0232	2021-03-06	North America	Mexico	Morelos	2021.17534246575
Mexico|TAM_LANGEBIO_IMSS_0235|EPI_ISL_1352076|B.1.1.519|2021-03-07	EPI_ISL_1352076	TAM_LANGEBIO_IMSS_0235	2021-03-07	North America	Mexico	Zacatecas	2021.17808219178
Mexico|TAM_LANGEBIO_IMSS_0237|EPI_ISL_1352083|B.1.1.519|2021-03-06	EPI_ISL_1352083	TAM_LANGEBIO_IMSS_0237	2021-03-06	North America	Mexico	Zacatecas	2021.17534246575
Mexico|GUA-InDRE_F10385_S667|EPI_ISL_1359082|B.1.1.519|2021-02-17	EPI_ISL_1359082	GUA-InDRE_F10385_S667	2021-02-17	North America	Mexico	Guanajuato	2021.12876712329
Spain|CT-HUB00198|EPI_ISL_1360115|B.1.1.519|2021-03-01	EPI_ISL_1360115	CT-HUB00198	2021-03-01	Europe	Spain	Catalunya	2021.16164383562
USA|AZ-TG768224|EPI_ISL_1363328|B.1.1.519|2021-03-05	EPI_ISL_1363328	AZ-TG768224	2021-03-05	North America	USA	Arizona	2021.17260273973
USA|AZ-TG772635|EPI_ISL_1363471|B.1.1.519|2021-03-05	EPI_ISL_1363471	AZ-TG772635	2021-03-05	North America	USA	Arizona	2021.17260273973
USA|AZ-TG772659|EPI_ISL_1363519|B.1.1.519|2021-03-05	EPI_ISL_1363519	AZ-TG772659	2021-03-05	North America	USA	Arizona	2021.17260273973
USA|AZ-ASU2778|EPI_ISL_1364632|B.1.1.519|2021-02-06	EPI_ISL_1364632	AZ-ASU2778	2021-02-06	North America	USA	Arizona	2021.09863013699
USA|AZ-ASU2688|EPI_ISL_1364760|B.1.1.519|2021-01-20	EPI_ISL_1364760	AZ-ASU2688	2021-01-20	North America	USA	Arizona	2021.05205479452
USA|AZ-ASU2644|EPI_ISL_1364783|B.1.1.519|2021-01-20	EPI_ISL_1364783	AZ-ASU2644	2021-01-20	North America	USA	Arizona	2021.05205479452
USA|MN-MDH-3995|EPI_ISL_1365424|B.1.1.519|2021-03-04	EPI_ISL_1365424	MN-MDH-3995	2021-03-04	North America	USA	Minnesota	2021.1698630137
USA|MN-MDH-4007|EPI_ISL_1365436|B.1.1.519|2021-03-04	EPI_ISL_1365436	MN-MDH-4007	2021-03-04	North America	USA	Minnesota	2021.1698630137
USA|AZ-ASU3083|EPI_ISL_1365546|B.1.1.519|2021-03-10	EPI_ISL_1365546	AZ-ASU3083	2021-03-10	North America	USA	Arizona	2021.18630136986
Mexico|MOR-InDRE_F10613_S685|EPI_ISL_1365650|B.1.1.519|2021-02-16	EPI_ISL_1365650	MOR-InDRE_F10613_S685	2021-02-16	North America	Mexico	Morelos	2021.12602739726
Mexico|MOR-InDRE_F10663_S690|EPI_ISL_1365655|B.1.1.519|2021-02-19	EPI_ISL_1365655	MOR-InDRE_F10663_S690	2021-02-19	North America	Mexico	Morelos	2021.13424657534
USA|VA-DCLS-4008|EPI_ISL_1365713|B.1.1.519|2021-03-09	EPI_ISL_1365713	VA-DCLS-4008	2021-03-09	North America	USA	Virginia	2021.18356164384
USA|WA-UW-62735|EPI_ISL_1366164|B.1.1.519|2021-02-04	EPI_ISL_1366164	WA-UW-62735	2021-02-04	North America	USA	Washington	2021.09315068493
Mexico|PUE-InDRE_F10413_S711|EPI_ISL_1366660|B.1.1.519|2021-02-21	EPI_ISL_1366660	PUE-InDRE_F10413_S711	2021-02-21	North America	Mexico	Puebla	2021.1397260274
Mexico|JAL-InDRE_F10438_S713|EPI_ISL_1366662|B.1.1.519|2021-02-19	EPI_ISL_1366662	JAL-InDRE_F10438_S713	2021-02-19	North America	Mexico	Jalisco	2021.13424657534
Mexico|NLE-InDRE_F10511_S715|EPI_ISL_1366664|B.1.1.519|2021-02-17	EPI_ISL_1366664	NLE-InDRE_F10511_S715	2021-02-17	North America	Mexico	Nuevo Leon	2021.12876712329
Mexico|QUE-InDRE_F10614_S727|EPI_ISL_1366676|B.1.1.519|2021-02-23	EPI_ISL_1366676	QUE-InDRE_F10614_S727	2021-02-23	North America	Mexico	Queretaro	2021.14520547945
Mexico|MOR-InDRE_F10650_S729|EPI_ISL_1366678|B.1.1.519|2021-02-17	EPI_ISL_1366678	MOR-InDRE_F10650_S729	2021-02-17	North America	Mexico	Morelos	2021.12876712329
Mexico|MOR-InDRE_F10653_S730|EPI_ISL_1366679|B.1.1.519|2021-02-18	EPI_ISL_1366679	MOR-InDRE_F10653_S730	2021-02-18	North America	Mexico	Morelos	2021.13150684931
Mexico|MOR-InDRE_F10656_S731|EPI_ISL_1366680|B.1.1.519|2021-02-17	EPI_ISL_1366680	MOR-InDRE_F10656_S731	2021-02-17	North America	Mexico	Morelos	2021.12876712329
Mexico|MOR-InDRE_F10660_S732|EPI_ISL_1366681|B.1.1.519|2021-02-19	EPI_ISL_1366681	MOR-InDRE_F10660_S732	2021-02-19	North America	Mexico	Morelos	2021.13424657534
Mexico|VER-InDRE_F10674_S735|EPI_ISL_1366684|B.1.1.519|2021-02-20	EPI_ISL_1366684	VER-InDRE_F10674_S735	2021-02-20	North America	Mexico	Veracruz	2021.13698630137
Mexico|CMX-InDRE_F10723_S740|EPI_ISL_1366689|B.1.1.519|2021-02-16	EPI_ISL_1366689	CMX-InDRE_F10723_S740	2021-02-16	North America	Mexico	Mexico City	2021.12602739726
Mexico|HID-InDRE_F10781_S741|EPI_ISL_1366690|B.1.1.519|2021-02-22	EPI_ISL_1366690	HID-InDRE_F10781_S741	2021-02-22	North America	Mexico	Hidalgo	2021.14246575342
Mexico|HID-InDRE_F10786_S742|EPI_ISL_1366691|B.1.1.519|2021-02-23	EPI_ISL_1366691	HID-InDRE_F10786_S742	2021-02-23	North America	Mexico	Hidalgo	2021.14520547945
Mexico|HID-InDRE_F10789_S743|EPI_ISL_1366692|B.1.1.519|2021-02-27	EPI_ISL_1366692	HID-InDRE_F10789_S743	2021-02-27	North America	Mexico	Hidalgo	2021.15616438356
Mexico|NLE-InDRE_F10792_S744|EPI_ISL_1366693|B.1.1.519|2021-02-22	EPI_ISL_1366693	NLE-InDRE_F10792_S744	2021-02-22	North America	Mexico	Nuevo Leon	2021.14246575342
Mexico|NLE-InDRE_F10793_S745|EPI_ISL_1366694|B.1.1.519|2021-02-23	EPI_ISL_1366694	NLE-InDRE_F10793_S745	2021-02-23	North America	Mexico	Nuevo Leon	2021.14520547945
Mexico|NLE-InDRE_F10807_S749|EPI_ISL_1366698|B.1.1.519|2021-02-23	EPI_ISL_1366698	NLE-InDRE_F10807_S749	2021-02-23	North America	Mexico	Nuevo Leon	2021.14520547945
Mexico|GUA-InDRE_F10816_S751|EPI_ISL_1366700|B.1.1.519|2021-02-22	EPI_ISL_1366700	GUA-InDRE_F10816_S751	2021-02-22	North America	Mexico	Guanajuato	2021.14246575342
USA|OH-CDC-QDX22862014|EPI_ISL_1367212|B.1.1.519|2021-03-10	EPI_ISL_1367212	OH-CDC-QDX22862014	2021-03-10	North America	USA	Ohio	2021.18630136986
USA|MI-CDC-QDX22861156|EPI_ISL_1367220|B.1.1.519|2021-03-10	EPI_ISL_1367220	MI-CDC-QDX22861156	2021-03-10	North America	USA	Michigan	2021.18630136986
USA|PA-CDC-QDX22820399|EPI_ISL_1367426|B.1.1.519|2021-03-07	EPI_ISL_1367426	PA-CDC-QDX22820399	2021-03-07	North America	USA	Pennsylvania	2021.17808219178
USA|FL-CDC-QDX22788053|EPI_ISL_1367469|B.1.1.519|2021-03-09	EPI_ISL_1367469	FL-CDC-QDX22788053	2021-03-09	North America	USA	Florida	2021.18356164384
USA|MI-MDHHS-SC24867|EPI_ISL_1367653|B.1.1.519|2021-03-06	EPI_ISL_1367653	MI-MDHHS-SC24867	2021-03-06	North America	USA	Michigan	2021.17534246575
USA|MI-MDHHS-SC24868|EPI_ISL_1367654|B.1.1.519|2021-03-03	EPI_ISL_1367654	MI-MDHHS-SC24868	2021-03-03	North America	USA	Michigan	2021.16712328767
USA|MI-MDHHS-SC24900|EPI_ISL_1367705|B.1.1.519|2021-03-08	EPI_ISL_1367705	MI-MDHHS-SC24900	2021-03-08	North America	USA	Michigan	2021.18082191781
USA|MI-MDHHS-SC25056|EPI_ISL_1367812|B.1.1.519|2021-03-06	EPI_ISL_1367812	MI-MDHHS-SC25056	2021-03-06	North America	USA	Michigan	2021.17534246575
USA|OH-USAFSAM-S1255|EPI_ISL_1372995|B.1.1.519|2021-03-01	EPI_ISL_1372995	OH-USAFSAM-S1255	2021-03-01	North America	USA	Ohio	2021.16164383562
USA|NC-UNC-0692|EPI_ISL_1373511|B.1.1.519|2021-03-17	EPI_ISL_1373511	NC-UNC-0692	2021-03-17	North America	USA	North Carolina	2021.20547945205
USA|CT-Yale-2270|EPI_ISL_1378827|B.1.1.519|2021-03-12	EPI_ISL_1378827	CT-Yale-2270	2021-03-12	North America	USA	Connecticut	2021.19178082192
USA|NY-21-CoV-1675-VTM1-BBTY950|EPI_ISL_1379261|B.1.1.519|2021-02-24	EPI_ISL_1379261	NY-21-CoV-1675-VTM1-BBTY950	2021-02-24	North America	USA	New York	2021.14794520548
Mexico|CMX_LANGEBIO_IMSS_0243|EPI_ISL_1381238|B.1.1.519|2021-03-05	EPI_ISL_1381238	CMX_LANGEBIO_IMSS_0243	2021-03-05	North America	Mexico	Mexico City	2021.17260273973
Mexico|MEX_LANGEBIO_IMSS_0247|EPI_ISL_1381242|B.1.1.519|2021-03-07	EPI_ISL_1381242	MEX_LANGEBIO_IMSS_0247	2021-03-07	North America	Mexico	State of Mexico	2021.17808219178
Mexico|MEX_LANGEBIO_IMSS_0249|EPI_ISL_1381244|B.1.1.519|2021-03-06	EPI_ISL_1381244	MEX_LANGEBIO_IMSS_0249	2021-03-06	North America	Mexico	State of Mexico	2021.17534246575
Mexico|CMX_LANGEBIO_IMSS_0250|EPI_ISL_1381245|B.1.1.519|2021-03-07	EPI_ISL_1381245	CMX_LANGEBIO_IMSS_0250	2021-03-07	North America	Mexico	Mexico City	2021.17808219178
Mexico|CMX_LANGEBIO_IMSS_0251|EPI_ISL_1381246|B.1.1.519|2021-03-07	EPI_ISL_1381246	CMX_LANGEBIO_IMSS_0251	2021-03-07	North America	Mexico	Mexico City	2021.17808219178
Mexico|ZAC_LANGEBIO_IMSS_0255|EPI_ISL_1381250|B.1.1.519|2021-03-04	EPI_ISL_1381250	ZAC_LANGEBIO_IMSS_0255	2021-03-04	North America	Mexico	Zacatecas	2021.1698630137
Mexico|ZAC_LANGEBIO_IMSS_0256|EPI_ISL_1381251|B.1.1.519|2021-03-04	EPI_ISL_1381251	ZAC_LANGEBIO_IMSS_0256	2021-03-04	North America	Mexico	Zacatecas	2021.1698630137
Mexico|ZAC_LANGEBIO_IMSS_0257|EPI_ISL_1381252|B.1.1.519|2021-03-04	EPI_ISL_1381252	ZAC_LANGEBIO_IMSS_0257	2021-03-04	North America	Mexico	Zacatecas	2021.1698630137
Mexico|ZAC_LANGEBIO_IMSS_0263|EPI_ISL_1381258|B.1.1.519|2021-03-02	EPI_ISL_1381258	ZAC_LANGEBIO_IMSS_0263	2021-03-02	North America	Mexico	Zacatecas	2021.16438356164
USA|WI-GMF-B00134|EPI_ISL_1382124|B.1.1.519|2021-03-09	EPI_ISL_1382124	WI-GMF-B00134	2021-03-09	North America	USA	Wisconsin	2021.18356164384
India|MH-NCCS-154558|EPI_ISL_1384826|B.1.1.306|2021-01-12	EPI_ISL_1384826	MH-NCCS-154558	2021-01-12	Asia	India	Maharashtra	2021.0301369863
USA|NY-PRL-2021_03_18_00N17|EPI_ISL_1384943|B.1.1.519|2021-03-16	EPI_ISL_1384943	NY-PRL-2021_03_18_00N17	2021-03-16	North America	USA	New York	2021.20273972603
USA|NY-PRL-2021_03_22_01L16|EPI_ISL_1385278|B.1.1.519|2021-03-20	EPI_ISL_1385278	NY-PRL-2021_03_22_01L16	2021-03-20	North America	USA	New York	2021.21369863014
USA|NY-PRL-2021_03_23_00H13|EPI_ISL_1385346|B.1.1.519|2021-03-22	EPI_ISL_1385346	NY-PRL-2021_03_23_00H13	2021-03-22	North America	USA	New York	2021.21917808219
USA|OH-CDC-QDX22948609|EPI_ISL_1391424|B.1.1.519|2021-03-14	EPI_ISL_1391424	OH-CDC-QDX22948609	2021-03-14	North America	USA	Ohio	2021.19726027397
USA|TX-CDC-QDX22950919|EPI_ISL_1391483|B.1.1.519|2021-03-15	EPI_ISL_1391483	TX-CDC-QDX22950919	2021-03-15	North America	USA	Texas	2021.2
USA|MI-CDC-QDX22907908|EPI_ISL_1391507|B.1.1.519|2021-03-12	EPI_ISL_1391507	MI-CDC-QDX22907908	2021-03-12	North America	USA	Michigan	2021.19178082192
USA|MN-CDC-QDX22903809|EPI_ISL_1391509|B.1.1.519|2021-03-11	EPI_ISL_1391509	MN-CDC-QDX22903809	2021-03-11	North America	USA	Minnesota	2021.18904109589
USA|TX-CDC-QDX22951450|EPI_ISL_1391533|B.1.1.519|2021-03-13	EPI_ISL_1391533	TX-CDC-QDX22951450	2021-03-13	North America	USA	Texas	2021.19452054795
USA|TX-CDC-QDX22981892|EPI_ISL_1391609|B.1.1.519|2021-03-15	EPI_ISL_1391609	TX-CDC-QDX22981892	2021-03-15	North America	USA	Texas	2021.2
USA|TX-CDC-QDX22948819|EPI_ISL_1391651|B.1.1.519|2021-03-15	EPI_ISL_1391651	TX-CDC-QDX22948819	2021-03-15	North America	USA	Texas	2021.2
USA|PA-CDC-STM-000033261|EPI_ISL_1391763|B.1.1.519|2021-03-11	EPI_ISL_1391763	PA-CDC-STM-000033261	2021-03-11	North America	USA	Pennsylvania	2021.18904109589
USA|MN-CDC-STM-000032651|EPI_ISL_1391876|B.1.1.519|2021-03-10	EPI_ISL_1391876	MN-CDC-STM-000032651	2021-03-10	North America	USA	Minnesota	2021.18630136986
USA|FL-CDC-STM-000033464|EPI_ISL_1391950|B.1.1.519|2021-03-11	EPI_ISL_1391950	FL-CDC-STM-000033464	2021-03-11	North America	USA	Florida	2021.18904109589
USA|MI-CDC-QDX22905840|EPI_ISL_1392315|B.1.1.519|2021-03-12	EPI_ISL_1392315	MI-CDC-QDX22905840	2021-03-12	North America	USA	Michigan	2021.19178082192
USA|MO-MSPHL-000515|EPI_ISL_1392875|B.1.377|2020-04-19	EPI_ISL_1392875	MO-MSPHL-000515	2020-04-19	North America	USA	Missouri	2020.29589041096
USA|KS-KHEL-0683|EPI_ISL_1392911|B.1.1.519|2021-03-19	EPI_ISL_1392911	KS-KHEL-0683	2021-03-19	North America	USA	Kansas	2021.21095890411
USA|KS-KHEL-0692|EPI_ISL_1392920|B.1.1.519|2021-03-23	EPI_ISL_1392920	KS-KHEL-0692	2021-03-23	North America	USA	Kansas	2021.22191780822
Mexico|CMX-INMEGEN-03-05-45|EPI_ISL_1392922|B.1.1.519|2021-03-01	EPI_ISL_1392922	CMX-INMEGEN-03-05-45	2021-03-01	North America	Mexico	Mexico City	2021.16164383562
USA|NY-Wadsworth-21017477-01|EPI_ISL_1394653|B.1.1.519|2021-01-23	EPI_ISL_1394653	NY-Wadsworth-21017477-01	2021-01-23	North America	USA	New York	2021.0602739726
USA|IN-INSPHL-00082|EPI_ISL_1394844|B.1.1.519|2021-02-25	EPI_ISL_1394844	IN-INSPHL-00082	2021-02-25	North America	USA	Indiana	2021.15068493151
USA|NY-Wadsworth-21026100-01|EPI_ISL_1395716|B.1.1.519|2021-01-19	EPI_ISL_1395716	NY-Wadsworth-21026100-01	2021-01-19	North America	USA	New York	2021.04931506849
USA|KS-KHEL-0706|EPI_ISL_1396646|B.1.1.519|2021-03-11	EPI_ISL_1396646	KS-KHEL-0706	2021-03-11	North America	USA	Kansas	2021.18904109589
USA|IN-INSPHL-00055|EPI_ISL_1396662|B.1.1.519|2021-02-12	EPI_ISL_1396662	IN-INSPHL-00055	2021-02-12	North America	USA	Indiana	2021.11506849315
USA|NY-Wadsworth-21014710-01|EPI_ISL_1397393|B.1.1.519|2021-01-20	EPI_ISL_1397393	NY-Wadsworth-21014710-01	2021-01-20	North America	USA	New York	2021.05205479452
USA|NY-Wadsworth-21016703-01|EPI_ISL_1397766|B.1.1.519|2021-01-29	EPI_ISL_1397766	NY-Wadsworth-21016703-01	2021-01-29	North America	USA	New York	2021.07671232877
USA|NY-Wadsworth-21023367-01|EPI_ISL_1397978|B.1.1.519|2021-02-05	EPI_ISL_1397978	NY-Wadsworth-21023367-01	2021-02-05	North America	USA	New York	2021.09589041096
USA|NY-Wadsworth-21031430-01|EPI_ISL_1398198|B.1.1.519|2021-03-06	EPI_ISL_1398198	NY-Wadsworth-21031430-01	2021-03-06	North America	USA	New York	2021.17534246575
Mexico|GUA-InDRE_F10355_S856|EPI_ISL_1399261|B.1.1.519|2021-02-20	EPI_ISL_1399261	GUA-InDRE_F10355_S856	2021-02-20	North America	Mexico	Guanajuato	2021.13698630137
Mexico|CMX-InDRE_F11121_S877|EPI_ISL_1399281|B.1.1.519|2021-02-26	EPI_ISL_1399281	CMX-InDRE_F11121_S877	2021-02-26	North America	Mexico	Mexico City	2021.15342465753
Mexico|CAM-InDRE_F10946_S753|EPI_ISL_1400299|B.1.1.519|2021-02-26	EPI_ISL_1400299	CAM-InDRE_F10946_S753	2021-02-26	North America	Mexico	Campeche	2021.15342465753
Mexico|MOR-InDRE_F10943_S754|EPI_ISL_1400300|B.1.1.519|2021-02-26	EPI_ISL_1400300	MOR-InDRE_F10943_S754	2021-02-26	North America	Mexico	Morelos	2021.15342465753
Mexico|MOR-InDRE_F10935_S755|EPI_ISL_1400301|B.1.1.519|2021-02-24	EPI_ISL_1400301	MOR-InDRE_F10935_S755	2021-02-24	North America	Mexico	Morelos	2021.14794520548
Mexico|MOR-InDRE_F10927_S759|EPI_ISL_1400305|B.1.1.519|2021-02-22	EPI_ISL_1400305	MOR-InDRE_F10927_S759	2021-02-22	North America	Mexico	Morelos	2021.14246575342
Mexico|MOR-InDRE_F10916_S763|EPI_ISL_1400309|B.1.1.519|2021-02-21	EPI_ISL_1400309	MOR-InDRE_F10916_S763	2021-02-21	North America	Mexico	Morelos	2021.1397260274
Mexico|PUE-InDRE_F10895_S767|EPI_ISL_1400312|B.1.1.519|2021-02-22	EPI_ISL_1400312	PUE-InDRE_F10895_S767	2021-02-22	North America	Mexico	Puebla	2021.14246575342
Mexico|PUE-InDRE_F10894_S768|EPI_ISL_1400313|B.1.1.519|2021-02-22	EPI_ISL_1400313	PUE-InDRE_F10894_S768	2021-02-22	North America	Mexico	Puebla	2021.14246575342
Mexico|GUA-InDRE_F10876_S772|EPI_ISL_1400317|B.1.1.519|2021-02-25	EPI_ISL_1400317	GUA-InDRE_F10876_S772	2021-02-25	North America	Mexico	Guanajuato	2021.15068493151
Mexico|GUA-InDRE_F10870_S773|EPI_ISL_1400318|B.1.1.519|2021-02-26	EPI_ISL_1400318	GUA-InDRE_F10870_S773	2021-02-26	North America	Mexico	Guanajuato	2021.15342465753
Mexico|GUA-InDRE_F10869_S774|EPI_ISL_1400319|B.1.1.519|2021-02-25	EPI_ISL_1400319	GUA-InDRE_F10869_S774	2021-02-25	North America	Mexico	Guanajuato	2021.15068493151
Mexico|GUA-InDRE_F10867_S775|EPI_ISL_1400320|B.1.1.519|2021-02-25	EPI_ISL_1400320	GUA-InDRE_F10867_S775	2021-02-25	North America	Mexico	Guanajuato	2021.15068493151
Mexico|GUA-InDRE_F10864_S777|EPI_ISL_1400322|B.1.1.519|2021-02-25	EPI_ISL_1400322	GUA-InDRE_F10864_S777	2021-02-25	North America	Mexico	Guanajuato	2021.15068493151
Mexico|GUA-InDRE_F10860_S779|EPI_ISL_1400324|B.1.1.519|2021-02-25	EPI_ISL_1400324	GUA-InDRE_F10860_S779	2021-02-25	North America	Mexico	Guanajuato	2021.15068493151
Mexico|GUA-InDRE_F10848_S784|EPI_ISL_1400329|B.1.1.519|2021-02-23	EPI_ISL_1400329	GUA-InDRE_F10848_S784	2021-02-23	North America	Mexico	Guanajuato	2021.14520547945
Mexico|GUA-InDRE_F10843_S788|EPI_ISL_1400333|B.1.1.519|2021-02-24	EPI_ISL_1400333	GUA-InDRE_F10843_S788	2021-02-24	North America	Mexico	Guanajuato	2021.14794520548
Mexico|GUA-InDRE_F10842_S789|EPI_ISL_1400334|B.1.1.519|2021-02-24	EPI_ISL_1400334	GUA-InDRE_F10842_S789	2021-02-24	North America	Mexico	Guanajuato	2021.14794520548
Mexico|GUA-InDRE_F10841_S790|EPI_ISL_1400335|B.1.1.519|2021-02-23	EPI_ISL_1400335	GUA-InDRE_F10841_S790	2021-02-23	North America	Mexico	Guanajuato	2021.14520547945
Mexico|GUA-InDRE_F10840_S791|EPI_ISL_1400336|B.1.1.519|2021-02-23	EPI_ISL_1400336	GUA-InDRE_F10840_S791	2021-02-23	North America	Mexico	Guanajuato	2021.14520547945
Mexico|GUA-InDRE_F10837_S792|EPI_ISL_1400337|B.1.1.519|2021-02-23	EPI_ISL_1400337	GUA-InDRE_F10837_S792	2021-02-23	North America	Mexico	Guanajuato	2021.14520547945
Mexico|GUA-InDRE_F10829_S796|EPI_ISL_1400341|B.1.1.519|2021-02-27	EPI_ISL_1400341	GUA-InDRE_F10829_S796	2021-02-27	North America	Mexico	Guanajuato	2021.15616438356
Mexico|GUA-InDRE_F10827_S797|EPI_ISL_1400342|B.1.1.519|2021-02-25	EPI_ISL_1400342	GUA-InDRE_F10827_S797	2021-02-25	North America	Mexico	Guanajuato	2021.15068493151
Mexico|GUA-InDRE_F10824_S799|EPI_ISL_1400344|B.1.1.519|2021-02-25	EPI_ISL_1400344	GUA-InDRE_F10824_S799	2021-02-25	North America	Mexico	Guanajuato	2021.15068493151
Mexico|GUA-InDRE_F10823_S800|EPI_ISL_1400345|B.1.1.519|2021-02-25	EPI_ISL_1400345	GUA-InDRE_F10823_S800	2021-02-25	North America	Mexico	Guanajuato	2021.15068493151
USA|WA-UW-67484|EPI_ISL_1400392|B.1.1.519|2021-03-17	EPI_ISL_1400392	WA-UW-67484	2021-03-17	North America	USA	Washington	2021.20547945205
Mexico|CMX-INMEGEN-03-08-07|EPI_ISL_1400795|B.1.1.519|2021-03-01	EPI_ISL_1400795	CMX-INMEGEN-03-08-07	2021-03-01	North America	Mexico	Mexico City	2021.16164383562
Mexico|CMX-INMEGEN-03-08-36|EPI_ISL_1400797|B.1.1.519|2021-03-03	EPI_ISL_1400797	CMX-INMEGEN-03-08-36	2021-03-03	North America	Mexico	Mexico City	2021.16712328767
Mexico|CMX-INMEGEN-03-08-66|EPI_ISL_1400798|B.1.1.519|2021-03-05	EPI_ISL_1400798	CMX-INMEGEN-03-08-66	2021-03-05	North America	Mexico	Mexico City	2021.17260273973
USA|CA-UCSC-183|EPI_ISL_1402597|B.1.1.519|2021-02-19	EPI_ISL_1402597	CA-UCSC-183	2021-02-19	North America	USA	California	2021.13424657534
USA|WI-UW-3965|EPI_ISL_1403813|B.1.1.519|2021-03-06	EPI_ISL_1403813	WI-UW-3965	2021-03-06	North America	USA	Wisconsin	2021.17534246575
USA|UT-UPHL-2103199528|EPI_ISL_1403887|B.1.1.519|2021-03-08	EPI_ISL_1403887	UT-UPHL-2103199528	2021-03-08	North America	USA	Utah	2021.18082191781
USA|UT-UPHL-2103422488|EPI_ISL_1403966|B.1.1.519|2021-01-22	EPI_ISL_1403966	UT-UPHL-2103422488	2021-01-22	North America	USA	Utah	2021.05753424658
USA|MI-UM-10038811762|EPI_ISL_1404285|B.1.1.519|2021-03-16	EPI_ISL_1404285	MI-UM-10038811762	2021-03-16	North America	USA	Michigan	2021.20273972603
USA|MI-UM-10038811756|EPI_ISL_1404292|B.1.1.519|2021-03-16	EPI_ISL_1404292	MI-UM-10038811756	2021-03-16	North America	USA	Michigan	2021.20273972603
USA|WA-UW-65931|EPI_ISL_1405078|B.1.1.519|2021-03-05	EPI_ISL_1405078	WA-UW-65931	2021-03-05	North America	USA	Washington	2021.17260273973
USA|WA-UW-66108|EPI_ISL_1405189|B.1.1.519|2021-03-03	EPI_ISL_1405189	WA-UW-66108	2021-03-03	North America	USA	Washington	2021.16712328767
USA|WA-UW-66252|EPI_ISL_1405276|B.1.1.519|2021-03-05	EPI_ISL_1405276	WA-UW-66252	2021-03-05	North America	USA	Washington	2021.17260273973
Mexico|GUA-InDRE_F10866_S887|EPI_ISL_1405904|B.1.1.519|2021-02-25	EPI_ISL_1405904	GUA-InDRE_F10866_S887	2021-02-25	North America	Mexico	Guanajuato	2021.15068493151
Mexico|JAL-InDRE_F10958_S880|EPI_ISL_1405911|B.1.1.519|2021-02-24	EPI_ISL_1405911	JAL-InDRE_F10958_S880	2021-02-24	North America	Mexico	Jalisco	2021.14794520548
Mexico|CMX-INMEGEN-03-09-29|EPI_ISL_1406083|B.1.1.519|2021-03-11	EPI_ISL_1406083	CMX-INMEGEN-03-09-29	2021-03-11	North America	Mexico	Mexico City	2021.18904109589
Mexico|CMX-INMEGEN-03-09-30|EPI_ISL_1406084|B.1.1.519|2021-03-11	EPI_ISL_1406084	CMX-INMEGEN-03-09-30	2021-03-11	North America	Mexico	Mexico City	2021.18904109589
Mexico|CMX-INMEGEN-03-09-33|EPI_ISL_1406087|B.1.1.519|2021-03-11	EPI_ISL_1406087	CMX-INMEGEN-03-09-33	2021-03-11	North America	Mexico	Mexico City	2021.18904109589
Mexico|CMX-INMEGEN-03-09-34|EPI_ISL_1406088|B.1.1.519|2021-03-11	EPI_ISL_1406088	CMX-INMEGEN-03-09-34	2021-03-11	North America	Mexico	Mexico City	2021.18904109589
Mexico|CMX-INMEGEN-03-09-36|EPI_ISL_1406090|B.1.1.519|2021-03-11	EPI_ISL_1406090	CMX-INMEGEN-03-09-36	2021-03-11	North America	Mexico	Mexico City	2021.18904109589
Mexico|CMX-INMEGEN-03-09-37|EPI_ISL_1406091|B.1.1.519|2021-03-11	EPI_ISL_1406091	CMX-INMEGEN-03-09-37	2021-03-11	North America	Mexico	Mexico City	2021.18904109589
Mexico|CMX-INMEGEN-03-09-39|EPI_ISL_1406093|B.1.1.519|2021-03-11	EPI_ISL_1406093	CMX-INMEGEN-03-09-39	2021-03-11	North America	Mexico	Mexico City	2021.18904109589
Mexico|CMX-INMEGEN-03-09-42|EPI_ISL_1406095|B.1.1.519|2021-03-12	EPI_ISL_1406095	CMX-INMEGEN-03-09-42	2021-03-12	North America	Mexico	Mexico City	2021.19178082192
Mexico|CMX-INMEGEN-03-09-44|EPI_ISL_1406097|B.1.1.519|2021-03-12	EPI_ISL_1406097	CMX-INMEGEN-03-09-44	2021-03-12	North America	Mexico	Mexico City	2021.19178082192
